date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-02-07,15,11,0.0,10.8,4,4,88,03:48 PM,05:42 AM,07:30 AM,06:14 PM,9,12,13,12,14,14,78,0.0,1016,15,10,191,10
2009-02-08,18,12,0.0,10.9,5,5,96,05:02 PM,06:30 AM,07:30 AM,06:15 PM,7,16,16,16,21,21,56,0.0,1016,18,10,97,11
2009-02-09,21,14,0.0,10.9,5,5,100,06:16 PM,07:12 AM,07:29 AM,06:16 PM,6,17,18,17,35,32,49,0.0,1010,21,10,169,19
2009-02-10,13,10,0.0,5.4,3,3,89,07:26 PM,07:47 AM,07:28 AM,06:17 PM,8,7,10,7,41,81,86,16.9,1008,13,8,246,28
2009-02-11,12,10,0.0,10.9,4,4,82,08:33 PM,08:18 AM,07:27 AM,06:18 PM,8,9,11,9,28,33,80,2.2,1014,12,10,247,21
2009-02-12,15,12,0.0,10.9,4,4,74,09:38 PM,08:47 AM,07:26 AM,06:19 PM,9,12,13,12,25,30,76,0.1,1017,15,10,190,18
2009-02-13,18,12,0.0,11.0,4,4,67,10:41 PM,09:17 AM,07:25 AM,06:20 PM,7,14,15,14,18,9,59,0.0,1013,18,10,160,11
2009-02-14,17,10,0.0,11.0,4,4,59,11:44 PM,09:47 AM,07:24 AM,06:21 PM,7,14,14,14,19,0,60,0.0,1011,17,10,189,12
2009-02-15,15,10,0.0,11.0,4,4,51,No moonrise,10:19 AM,07:23 AM,06:22 PM,6,10,12,10,39,12,68,0.1,1012,15,10,206,29
2009-02-16,13,9,0.0,8.6,4,4,44,12:45 AM,10:55 AM,07:22 AM,06:23 PM,6,7,10,7,42,33,77,5.4,1014,13,10,227,32
2009-02-17,10,8,0.0,11.0,3,3,36,01:45 AM,11:36 AM,07:21 AM,06:24 PM,4,6,9,6,21,19,72,1.7,1019,10,10,256,15
2009-02-18,10,8,0.0,11.1,3,3,29,02:41 AM,12:21 PM,07:20 AM,06:25 PM,5,7,9,7,17,45,78,0.7,1020,10,10,197,12
